time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4682.275256,402.2006231,MAX,min,
277,0,1,1,1,-4933, ,,,,
278,0,1,1,1,-4936, ,,,,
279,0,1,1,1,-4933, ,,,,
280,0,1,1,1,-4934, ,,,,
281,0,1,1,1,-4932, ,,,,
282,0,1,1,1,-4935, ,,,,
283,0,1,1,1,-4935, ,,,,
284,0,1,1,1,-4939, ,,,,
285,0,1,1,1,-4938, ,,,,
286,0,1,1,1,-4936, ,,,,
287,0,1,1,1,-4934, ,,,,
288,0,1,1,1,-4934, ,,,,
289,0,1,1,1,-4933, ,,,,
290,0,1,1,1,-4930, ,,,,
291,0,1,1,1,-4930, ,,,,
292,0,1,1,1,-4927, ,,,,
293,0,1,1,1,-4925, ,,,,
294,0,1,1,1,-4925, ,,,,
295,0,1,1,1,-4922, ,,,,
296,0,1,1,1,-4923, ,,,,
297,0,1,1,1,-4920, ,,,,
298,0,1,1,1,-4921, ,,,,
299,0,1,1,1,-4923, ,,,,
300,0,1,1,1,-4924, ,,,,
301,0,1,1,1,-4922, ,,,,
302,0,1,1,1,-4923, ,,,,
303,0,1,1,1,-4923, ,,,,
304,0,1,1,1,-4924, ,,,,
305,0,1,1,1,-4923, ,,,,
306,0,1,1,1,-4916, ,,,,
307,0,1,1,1,-4916, ,,,,
308,0,1,1,1,-4915, ,,,,
309,0,1,1,1,-4916, ,,,,
310,0,1,1,1,-4922, ,,,,
311,0,1,1,1,-4923, ,,,,
312,0,1,1,1,-4925, ,,,,
313,0,1,1,1,-4909, ,,,,
314,0,1,1,1,-4794, ,,,,
315,0,1,1,1,-4554, ,,,,
316,0,1,1,1,-4252, ,,,,
317,0,1,1,1,-3961, ,,,,
318,0,1,1,1,-3739, ,,,,
319,0,1,1,1,-3602, ,,,,
320,0,1,1,1,-3543, ,,,,
321,0,1,1,1,-3537, ,,,,
322,0,1,1,1,-3562, ,,,,
323,0,1,1,1,-3614, ,,,,
324,0,1,1,1,-3689, ,,,,
325,0,1,1,1,-3771, ,,,,
326,0,1,1,1,-3856, ,,,,
327,0,1,1,1,-3943, ,,,,
328,0,1,1,1,-4023, ,,,,
329,0,1,1,1,-4103, ,,,,
330,0,1,1,1,-4179, ,,,,
