time unit: s, ADC_OF1, CS_ADC, MOSI, MISO, ADC_D1[13..0],-4688.309419,1.334237443,,,,,,,,,,,,, 
158,0,1,1,1,-4688,,,,,,,,,,,,,,, 
159,0,1,1,1,-4687,,,,,,,,,,,,,,, 
160,0,1,1,1,-4689,,,,,,,,,,,,,,, 
161,0,1,1,1,-4689,,,,,,,,,,,,,,, 
162,0,1,1,1,-4688,,,,,,,,,,,,,,, 
163,0,1,1,1,-4687,,,,,,,,,,,,,,, 
164,0,1,1,1,-4690,,,,,,,,,,,,,,, 
165,0,1,1,1,-4688,,,,,,,,,,,,,,, 
166,0,1,1,1,-4690,,,,,,,,,,,,,,, 
167,0,1,1,1,-4688,,,,,,,,,,,,,,, 
168,0,1,1,1,-4687,,,,,,,,,,,,,,, 
169,0,1,1,1,-4688,,,,,,,,,,,,,,, 
170,0,1,1,1,-4687,,,,,,,,,,,,,,, 
171,0,1,1,1,-4688,,,,,,,,,,,,,,, 
172,0,1,1,1,-4689,,,,,,,,,,,,,,, 
173,0,1,1,1,-4688,,,,,,,,,,,,,,, 
174,0,1,1,1,-4687,,,,,,,,,,,,,,, 
175,0,1,1,1,-4689,,,,,,,,,,,,,,, 
176,0,1,1,1,-4690,,,,,,,,,,,,,,, 
177,0,1,1,1,-4687,,,,,,,,,,,,,,, 
178,0,1,1,1,-4688,,,,,,,,,,,,,,, 
179,0,1,1,1,-4687,,,,,,,,,,,,,,, 
180,0,1,1,1,-4687,,,,,,,,,,,,,,, 
181,0,1,1,1,-4688,,,,,,,,,,,,,,, 
182,0,1,1,1,-4688,,,,,,,,,,,,,,, 
183,0,1,1,1,-4687,,,,,,,,,,,,,,, 
184,0,1,1,1,-4688,,,,,,,,,,,,,,, 
185,0,1,1,1,-4688,,,,,,,,,,,,,,, 
186,0,1,1,1,-4687,,,,,,,,,,,,,,, 
187,0,1,1,1,-4689,,,,,,,,,,,,,,, 
188,0,1,1,1,-4688,,,,,,,,,,,,,,, 
189,0,1,1,1,-4690,,,,,,,,,,,,,,, 
190,0,1,1,1,-4688,,,,,,,,,,,,,,, 
191,0,1,1,1,-4688,,,,,,,,,,,,,,, 
192,0,1,1,1,-4689,,,,,,,,,,,,,,, 
193,0,1,1,1,-4690,,,,,,,,,,,,,,, 
194,0,1,1,1,-4690,,,,,,,,,,,,,,, 
195,0,1,1,1,-4688,,,,,,,,,,,,,,, 
196,0,1,1,1,-4689,,,,,,,,,,,,,,, 
197,0,1,1,1,-4688,,,,,,,,,,,,,,, 
198,0,1,1,1,-4689,,,,,,,,,,,,,,, 
199,0,1,1,1,-4688,,,,,,,,,,,,,,, 
